116 6
0 0 6
1 0 6
4 0 6
8 0 6
10 0 6
12 0 6
13 0 6
17 0 6
19 0 6
26 0 6
30 0 6
32 0 6
33 0 6
36 0 6
37 0 6
41 0 6
44 0 6
51 0 6
64 0 7
66 0 7
68 0 7
69 0 7
74 0 7
78 0 7
80 0 7
81 0 7
84 0 7
85 0 7
94 0 7
96 0 7
98 0 7
100 0 7
101 0 7
104 0 7
106 0 7
108 0 7
109 0 7
113 0 7
115 0 7
129 0 7
131 0 7
136 0 7
137 0 7
140 0 7
141 0 7
147 0 7
152 0 7
154 0 7
156 0 7
157 0 7
161 0 7
163 0 7
169 0 7
171 0 7
194 0 3
198 0 3
206 0 4
208 0 4
210 0 4
212 0 4
213 0 4
226 0 1
230 0 -1
234 0 1
238 0 -1
240 0 0
241 0 1
244 0 -1
245 0 -1
256 0 3
257 0 3
260 0 3
261 0 3
264 0 4
266 0 4
268 0 4
269 0 4
273 0 4
275 0 4
282 0 1
286 0 -1
288 0 0
289 0 1
292 0 -1
293 0 -1
296 0 0
297 0 1
300 0 -1
301 0 -1
307 0 -1
321 0 3
324 0 3
328 0 4
330 0 4
332 0 4
333 0 4
337 0 4
339 0 4
346 0 1
350 0 -1
352 0 0
353 0 1
356 0 -1
357 0 -1
361 0 1
364 0 -1
371 0 -1
387 0 3
393 0 4
395 0 4
408 0 0
409 0 1
412 0 -1
413 0 -1
419 0 -1
427 0 -1
