29737 12
0 0 15
1 0 15
4 0 15
8 0 15
10 0 15
12 0 15
13 0 15
17 0 15
19 0 15
26 0 15
30 0 15
32 0 15
33 0 15
36 0 15
37 0 15
41 0 15
44 0 15
51 0 15
64 0 15
66 0 15
68 0 15
69 0 15
74 0 15
78 0 15
80 0 15
81 0 15
84 0 15
85 0 15
94 0 15
96 0 15
98 0 15
100 0 15
101 0 15
104 0 12
106 0 15
108 0 15
109 0 9
113 0 15
115 0 15
129 0 15
131 0 15
136 0 15
137 0 15
140 0 15
141 0 15
147 0 15
152 0 15
154 0 15
156 0 15
157 0 15
161 0 15
163 0 15
169 0 15
171 0 15
194 0 15
198 0 15
206 0 15
208 0 15
210 0 15
212 0 15
213 0 15
226 0 15
230 0 15
234 0 15
238 0 15
240 0 15
241 0 15
244 0 15
245 0 15
256 0 15
257 0 15
260 0 15
261 0 15
264 0 15
266 0 15
268 0 15
269 0 15
273 0 15
275 0 15
282 0 15
286 0 15
288 6 9
289 0 15
292 6 9
293 0 15
296 0 15
297 0 15
300 0 15
301 0 15
307 0 15
321 0 15
324 0 15
328 0 12
330 0 15
332 0 15
333 0 9
337 0 15
339 0 15
346 0 15
350 0 15
352 0 15
353 0 15
356 0 15
357 0 15
361 0 9
364 0 15
371 0 15
387 0 15
393 0 15
395 0 15
408 0 15
409 0 15
412 0 15
413 0 15
419 0 15
427 0 15
512 0 15
514 0 15
516 0 15
517 0 15
522 0 15
526 0 15
528 0 15
529 0 15
532 0 15
533 0 15
542 0 15
544 0 15
546 0 15
548 0 15
549 0 15
552 0 12
554 0 15
556 0 15
557 0 6
561 0 15
563 0 15
578 0 15
582 0 15
590 0 12
592 0 15
594 0 15
596 0 15
597 0 15
610 0 15
614 0 15
618 0 12
622 0 12
624 0 15
625 0 15
628 0 15
629 0 15
640 0 15
641 0 15
644 0 15
645 0 15
648 0 15
650 0 15
652 0 15
653 0 15
657 0 15
659 0 15
666 0 15
670 0 15
672 0 15
673 0 15
676 0 15
677 0 15
680 0 15
681 0 15
684 0 15
