96 5
0 0 8
1 0 8
4 0 8
6 0 8
9 0 8
16 0 8
18 0 8
22 0 8
24 0 8
25 0 8
33 0 8
36 0 8
37 0 8
64 0 8
66 0 8
70 0 8
72 0 8
73 0 8
82 0 8
88 0 8
90 0 8
96 0 8
97 0 8
100 0 8
102 0 8
105 0 8
129 0 8
132 0 8
133 0 8
144 0 8
145 0 8
148 0 8
150 0 8
153 0 8
165 0 8
256 0 6
258 0 6
262 0 6
264 0 6
265 0 6
274 0 6
280 0 6
282 0 6
288 0 6
289 0 6
292 0 6
294 0 6
297 0 6
322 0 4
328 0 4
330 0 4
346 0 -1
352 0 2
354 0 2
358 0 -1
360 0 0
361 0 -1
384 0 4
385 0 4
388 0 4
390 0 4
393 0 4
400 0 2
402 0 2
406 0 -1
408 0 0
409 0 -1
417 0 2
420 0 0
421 0 -1
513 0 6
516 0 6
517 0 6
528 0 6
529 0 6
532 0 6
534 0 6
537 0 6
549 0 6
576 0 4
577 0 4
580 0 4
582 0 4
585 0 4
592 0 2
594 0 2
598 0 -1
600 0 0
601 0 -1
609 0 2
612 0 0
613 0 -1
645 0 4
657 0 2
660 0 0
661 0 -1
