6000 12
0 0 10
1 0 10
4 0 10
9 0 10
20 0 10
32 0 10
34 0 10
36 0 10
37 0 10
42 0 10
44 0 10
52 0 10
53 0 10
57 0 10
65 0 10
67 0 10
72 0 10
73 0 10
81 0 10
83 0 10
98 0 10
102 0 10
106 0 10
108 0 10
109 0 10
118 0 10
122 0 10
124 0 10
128 0 10
129 0 10
132 0 10
133 0 10
137 0 10
139 0 10
148 0 10
149 0 10
152 0 10
153 0 10
161 0 10
164 0 10
168 0 10
169 0 10
178 0 10
180 0 10
195 0 10
199 0 3
208 0 10
209 0 10
211 0 10
230 0 8
238 6 3
246 0 8
250 0 8
252 0 8
253 0 8
258 0 10
261 0 10
266 0 10
268 0 10
269 0 10
277 0 10
281 0 10
283 0 10
288 0 10
290 0 10
292 0 10
293 0 10
298 0 10
300 0 10
308 0 10
309 0 10
312 0 10
313 0 10
321 0 10
323 0 10
328 0 10
329 0 10
331 0 10
337 0 10
339 0 10
343 0 10
356 0 10
362 0 10
370 0 10
372 0 10
373 0 10
385 0 10
387 0 10
392 0 10
393 0 10
401 0 10
403 0 10
419 0 10
424 0 10
432 0 10
433 0 10
435 0 10
455 6 8
463 -6 -1
494 -6 -1
518 0 10
525 0 10
534 0 10
538 0 10
540 0 10
541 0 10
546 0 10
550 0 10
554 0 10
556 0 10
557 0 10
566 0 10
570 0 10
572 0 10
581 0 10
587 0 10
597 0 10
600 0 10
601 0 10
603 0 10
610 0 10
614 0 10
618 0 10
620 0 10
621 0 10
630 0 10
634 0 10
636 0 10
640 0 10
641 0 10
644 0 10
645 0 10
649 0 10
651 0 10
660 0 10
661 0 10
664 0 10
665 0 10
673 0 10
676 0 10
680 0 10
681 0 10
683 0 10
690 0 10
692 0 10
696 0 10
707 0 10
711 0 3
720 0 10
721 0 10
723 0 10
727 0 10
746 0 10
758 0 10
772 0 10
777 0 10
786 0 10
788 0 10
789 0 10
801 0 10
804 0 10
808 0 10
809 0 10
818 0 10
820 0 10
835 0 10
839 0 3
848 0 10
849 0 10
851 0 10
872 0 10
882 0 10
899 0 10
903 0 3
912 0 10
913 0 10
915 0 10
935 0 3
944 0 10
1024 0 11
1026 0 11
1028 0 11
1029 0 11
1034 0 11
1036 0 11
1044 0 11
1045 0 11
1049 0 11
1058 0 11
1062 0 11
1066 0 11
1068 0 11
1069 0 11
1078 0 11
1082 0 11
1084 0 11
1088 0 11
1089 0 11
1092 0 11
1093 0 11
1096 0 11
1097 0 11
1099 0 11
1106 0 11
1108 0 11
1109 0 11
1112 0 11
1113 0 11
1126 0 11
1134 6 3
1142 0 11
1146 0 11
1148 0 11
1149 0 11
1152 0 11
1154 0 11
1156 0 11
1157 0 11
1162 0 11
1164 0 11
1165 0 11
1172 0 11
1173 0 11
1176 0 11
1177 0 11
1179 0 11
1184 0 11
1186 0 11
1188 0 11
1189 0 11
1194 0 11
1196 0 11
1202 0 11
1204 0 11
1205 0 11
1208 0 11
1209 0 11
1217 0 11
1219 0 11
1224 0 11
1225 0 11
1227 0 11
1232 0 11
1233 0 11
1235 0 11
1239 0 11
1262 5 3
1282 0 11
1286 0 11
1290 0 11
1292 0 11
1293 0 11
1302 0 11
1306 0 11
1308 0 11
1309 0 11
1314 0 11
1318 0 11
1322 0 11
1324 0 11
1325 0 11
1334 0 11
1338 0 11
1340 0 11
1344 0 11
1345 0 11
1348 0 11
1349 0 11
1352 0 11
1353 0 11
1355 0 11
1362 0 11
1364 0 11
1365 0 11
1368 0 11
1369 0 11
1371 0 11
1378 0 11
1382 0 11
1386 0 11
1388 0 11
1389 0 11
1398 0 11
1402 0 11
1404 0 11
1408 0 11
1409 0 11
1412 0 11
1413 0 11
1416 0 11
1417 0 11
1419 0 11
1426 0 11
1428 0 11
1429 0 11
1432 0 11
1433 0 11
1441 0 11
1444 0 11
1448 0 11
1449 0 11
1451 0 11
1458 0 11
1460 0 11
1464 0 11
1475 6 8
1479 5 8
1488 4 8
1489 4 8
1491 4 8
1495 4 8
1542 0 11
1550 4 3
1558 0 11
1562 0 11
1564 0 11
1565 0 11
1574 0 11
1582 4 3
1590 0 11
1594 0 11
1596 0 11
1597 0 11
1602 0 11
1605 0 11
1610 0 11
1612 0 11
1613 0 11
1621 0 11
1624 0 11
1625 0 11
1627 0 11
1638 0 11
1646 4 3
1654 0 11
1658 0 11
1660 0 11
1661 0 11
1664 0 11
1666 0 11
1668 0 11
1669 0 11
1674 0 11
1676 0 11
1677 0 11
1684 0 11
1685 0 11
1688 0 11
1689 0 11
1691 0 11
1696 0 11
1698 0 11
1700 0 11
1701 0 11
1706 0 11
1708 0 11
1714 0 11
1716 0 11
1717 0 11
1720 0 11
1721 0 11
1723 0 11
1729 0 11
1731 0 11
1736 0 11
1737 0 11
1739 0 11
1744 0 11
1745 0 11
1747 0 11
1751 0 11
1766 0 11
1774 4 3
1782 0 11
1786 0 11
1788 0 11
1789 0 11
1794 0 11
1796 0 11
1797 0 11
1802 0 11
1804 0 11
1805 0 11
1810 0 11
1812 0 11
1813 0 11
1817 0 11
1819 0 11
1824 0 11
1826 0 11
1828 0 11
1829 0 11
1834 0 11
1836 0 11
1842 0 11
1844 0 11
1845 0 11
1848 0 11
1849 0 11
1857 0 11
1859 0 11
1864 0 11
1865 0 11
1867 0 11
1872 0 11
1873 0 11
1875 0 11
1879 0 11
1892 0 11
1898 0 11
1906 0 11
1908 0 11
1909 0 11
1912 0 11
1921 0 11
1923 0 11
1928 0 11
1929 0 11
1931 0 11
1936 0 11
1937 0 11
1939 0 11
1943 0 11
1955 0 11
