4688 10
0 0 12
1 0 12
4 0 12
8 0 12
10 0 12
12 0 12
13 0 12
17 0 12
19 0 12
26 0 12
30 0 12
32 0 12
33 0 12
36 0 12
37 0 12
41 0 12
44 0 12
51 0 12
64 0 12
66 0 12
68 0 12
69 0 12
74 0 12
78 0 12
80 0 12
81 0 12
84 0 12
85 0 12
94 0 12
96 0 12
98 0 12
100 0 12
101 0 12
104 0 12
106 0 12
108 0 12
109 0 9
113 0 12
115 0 12
129 0 12
131 0 12
136 0 12
137 0 12
140 0 12
141 0 12
147 0 12
152 0 12
154 0 12
156 0 12
157 0 12
161 0 12
163 0 12
169 0 12
171 0 12
194 0 12
198 0 12
206 0 12
208 0 12
210 0 12
212 0 12
213 0 12
226 0 12
230 0 12
234 0 12
238 0 12
240 0 12
241 0 12
244 0 12
245 0 12
256 0 12
257 0 12
260 0 12
261 0 12
264 0 12
266 0 12
268 0 12
269 0 12
273 0 12
275 0 12
282 0 12
286 0 12
288 4 9
289 0 12
292 4 9
293 0 12
296 0 12
297 0 12
300 0 12
301 0 12
307 0 12
321 0 12
324 0 12
328 0 12
330 0 12
332 0 12
333 0 9
337 0 12
339 0 12
346 0 12
350 0 12
352 0 12
353 0 12
356 0 12
357 0 12
361 0 9
364 0 12
371 0 12
387 0 12
393 0 12
395 0 12
408 0 12
409 0 12
412 0 12
413 0 12
419 0 12
427 0 12
512 0 12
514 0 12
516 0 12
517 0 12
522 0 12
526 0 12
528 0 12
529 0 12
532 0 12
533 0 12
542 0 12
544 0 12
546 0 12
548 0 12
549 0 12
552 0 12
554 0 12
556 0 12
557 0 6
561 0 12
563 0 12
578 0 12
582 0 12
590 0 12
592 0 12
594 0 12
596 0 12
597 0 12
610 0 12
614 0 12
618 0 12
622 0 12
624 0 12
625 0 12
628 0 12
629 0 12
640 0 12
641 0 12
644 0 12
645 0 12
648 0 12
650 0 12
652 0 12
653 0 12
657 0 12
659 0 12
666 0 12
670 0 12
672 0 12
673 0 12
676 0 12
677 0 12
680 0 12
681 0 12
684 0 12
685 0 12
691 0 12
710 0 12
722 0 12
726 0 12
742 0 12
750 0 12
752 0 12
754 0 12
756 0 12
757 0 12
768 0 12
770 0 12
772 0 12
773 0 12
778 0 12
782 0 12
784 0 12
785 0 12
788 0 12
789 0 12
798 0 12
800 0 12
802 0 12
804 0 10
805 0 12
808 0 12
810 0 12
812 0 12
813 0 12
817 0 12
819 0 12
832 0 12
834 0 12
836 0 12
837 0 3
842 0 12
846 0 12
848 0 12
849 0 12
852 0 12
853 0 12
862 0 12
864 0 12
866 0 12
868 0 12
869 0 12
872 -4 12
874 0 12
876 0 12
877 -4 -1
881 0 12
883 0 12
897 0 12
899 0 12
904 0 12
905 0 12
908 0 12
909 0 12
915 0 12
920 0 12
922 0 12
924 0 12
925 0 12
929 0 12
931 0 12
937 0 12
939 0 12
1025 0 12
1027 0 12
1032 0 12
1033 0 12
1036 0 12
1037 0 12
1043 0 12
1048 0 12
1050 0 12
1052 0 12
1053 0 12
1057 0 12
1059 0 12
1065 0 12
1067 0 12
1088 0 12
1089 0 12
1092 0 12
1093 0 12
1096 0 12
1098 0 12
1100 0 12
1101 0 12
1105 0 12
1107 0 12
1114 0 12
1118 0 12
1120 0 12
1121 0 12
1124 0 12
1125 0 12
1128 0 12
1129 0 12
1132 0 12
1133 0 12
1139 0 12
1155 0 12
1161 0 12
1163 0 12
1176 0 12
1177 0 12
1180 0 12
1181 0 12
1187 4 12
1195 0 12
1216 0 12
1218 0 12
1220 0 12
1221 0 12
1226 0 12
1230 0 12
1232 0 12
1233 0 12
1236 0 12
1237 0 12
1246 0 12
1248 0 12
1250 0 12
1252 0 10
1253 0 12
1256 0 12
1258 0 12
1260 0 12
1261 0 12
1265 0 12
1267 0 12
1281 0 12
1283 0 12
1288 0 12
1289 0 12
1292 0 12
1293 0 12
1299 4 12
1304 0 12
1306 0 12
1308 0 10
1309 0 12
1313 4 12
1315 3 12
1321 0 12
1323 0 12
1345 0 12
1347 0 12
1352 0 12
1353 0 12
1356 0 12
1357 0 12
1363 0 12
1368 0 12
1370 0 12
1372 0 12
1373 0 12
1377 0 12
1379 0 12
1385 0 12
1387 0 12
1419 0 12
1433 0 12
1435 0 12
1538 0 12
1542 0 12
1550 0 12
1552 0 12
1554 0 12
1556 0 12
1557 0 12
