537 10
0 0 6
1 0 6
4 0 6
9 0 6
20 0 6
41 0 6
64 0 7
66 0 7
68 0 7
69 0 7
74 0 7
76 0 7
84 0 7
85 0 7
89 0 7
106 0 7
108 0 7
116 0 7
129 0 7
131 0 7
136 0 7
137 0 7
145 0 7
147 0 7
164 0 7
168 0 7
169 0 7
194 0 8
198 0 8
202 0 8
204 0 8
205 0 8
214 0 8
218 0 8
220 0 8
234 0 8
236 0 8
237 0 8
244 0 8
245 0 8
249 0 8
256 0 8
257 0 8
260 0 8
261 0 8
265 0 8
267 0 8
276 0 8
277 0 8
280 0 8
281 0 8
297 0 8
299 0 8
305 0 8
307 0 8
321 0 8
324 0 8
328 0 8
329 0 8
338 0 8
340 0 8
356 0 8
357 0 8
360 0 8
361 0 8
387 0 8
391 0 3
400 0 4
401 0 8
403 0 8
417 0 8
419 0 8
423 0 8
454 0 9
462 4 3
470 0 9
474 0 9
476 0 9
477 3 4
502 0 9
506 0 9
508 0 9
514 0 9
517 0 9
522 0 9
524 0 9
525 0 9
533 0 9
537 0 9
539 0 9
554 0 9
556 0 9
557 0 9
564 0 9
565 0 9
568 0 9
569 0 9
576 0 9
578 0 9
580 0 9
581 0 9
586 0 9
588 0 9
596 0 9
597 0 9
600 0 9
601 0 9
618 0 9
620 0 9
626 0 9
628 0 9
641 0 9
643 0 9
648 0 9
649 0 9
651 0 9
657 0 9
659 0 9
663 0 9
676 0 9
680 0 9
681 0 9
683 0 9
688 0 9
689 0 9
691 0 9
708 0 9
714 0 9
722 0 9
724 0 9
725 0 9
742 0 9
746 0 9
748 0 9
769 0 9
771 0 9
776 0 9
777 0 9
785 0 9
787 0 9
804 0 9
805 0 9
808 0 9
809 0 9
835 0 9
840 0 9
848 0 4
849 0 9
851 0 9
866 0 9
868 0 9
872 0 9
903 4 9
911 -4 -1
928 -3 -1
929 2 9
931 2 9
935 2 9
974 -4 -1
1014 -2 -1
1018 -2 -1
1020 -2 -1
1030 0 10
1037 0 10
1046 0 10
1050 0 10
1052 0 10
1053 2 4
1069 0 10
1077 0 10
1081 0 10
1083 0 10
1090 0 10
1094 0 10
1098 0 10
1100 0 10
1101 0 10
1110 0 10
1114 0 10
1116 0 10
1130 0 10
1132 0 10
1133 0 10
1140 0 10
1141 0 10
1144 0 10
1145 0 10
1157 0 10
1163 0 10
1173 0 10
1176 0 10
1177 0 10
1179 0 10
1195 0 10
1201 0 10
1203 0 10
1207 0 10
1218 0 10
1222 0 10
1226 0 10
1228 0 10
1229 0 10
1238 0 10
1242 0 10
1244 0 10
1258 0 10
1260 0 10
1261 0 10
1266 0 10
1268 0 10
1269 0 10
1273 0 10
1280 0 10
1281 0 10
1284 0 10
1285 0 10
1289 0 10
1291 0 10
1300 0 10
1301 0 10
1304 0 10
1305 0 10
1321 0 10
1323 0 10
1329 0 10
1331 0 10
1345 0 10
1348 0 10
1352 0 10
1353 0 10
1355 0 10
1362 0 10
1364 0 10
1368 0 10
1380 0 10
1381 0 10
1384 0 10
1385 0 10
1387 0 10
1392 0 10
1393 0 10
1395 0 10
1411 0 10
1415 0 3
1424 0 10
1425 0 10
1427 0 10
1431 0 10
1441 0 10
1443 0 10
1447 0 10
1482 0 10
1494 0 10
1510 0 10
1514 0 10
1516 0 10
1517 0 10
1540 0 10
1545 0 10
1554 0 10
1556 0 10
1557 0 10
1573 0 10
1577 0 10
1579 0 10
1601 0 10
1604 0 10
1608 0 10
1609 0 10
1618 0 10
1620 0 10
1636 0 10
1637 0 10
1640 0 10
1641 0 10
1667 0 10
1671 0 3
1680 0 10
1681 0 10
1683 0 10
1697 0 10
1699 0 10
1703 0 10
1736 0 10
1746 0 10
1762 0 10
1764 0 10
1765 0 10
1768 0 10
1795 0 10
1799 0 3
1808 0 10
1809 0 10
1811 0 10
1825 0 10
1827 0 10
1831 0 10
1863 3 10
1872 2 10
1888 -2 -1
1889 0 10
1891 0 10
1895 0 10
2062 -3 -1
2077 -2 -1
2102 0 -1
2106 0 -1
2108 0 -1
2118 0 2
2126 2 3
2134 0 4
2138 0 4
2140 0 4
2141 0 4
2166 0 -1
2170 0 -1
2172 0 -1
2189 0 3
2203 0 4
2221 0 -1
2229 0 -1
2232 0 -1
2233 0 -1
2235 0 -1
2246 0 2
2254 2 3
2262 0 4
2266 0 4
2268 0 4
2269 0 4
2294 0 -1
2298 0 -1
2300 0 -1
2306 0 1
2309 0 2
2314 0 3
2316 0 3
2317 0 3
2325 0 4
2329 0 4
2331 0 4
2346 0 -1
2348 0 -1
2349 0 -1
2356 0 -1
2357 0 -1
2360 0 -1
2361 0 -1
2373 0 2
2380 0 3
2389 0 4
2392 0 4
2393 0 4
2395 0 4
2412 0 -1
2418 0 -1
2420 0 -1
2424 0 -1
2443 0 3
2455 0 4
2475 0 -1
2480 0 -1
2481 0 -1
2483 0 -1
2487 0 -1
2502 0 2
2510 2 3
2518 0 4
2522 0 4
2524 0 4
2525 0 4
2550 0 -1
2554 0 -1
2556 0 -1
2562 0 1
2565 0 2
2570 0 3
2572 0 3
2573 0 3
2581 0 4
2585 0 4
2587 0 4
2602 0 -1
2604 0 -1
2605 0 -1
2610 0 -1
2612 0 -1
2613 0 -1
2616 0 -1
2617 0 -1
2624 0 0
2626 0 1
2628 0 2
2629 0 2
2634 0 3
2636 0 3
2644 0 4
2645 0 4
2648 0 4
2649 0 4
2666 0 -1
2668 0 -1
2674 0 -1
2676 0 -1
2689 0 1
2691 0 2
2696 0 3
2697 0 3
2699 0 3
2705 0 4
2707 0 4
2711 0 4
2724 0 -1
2728 0 -1
2729 0 -1
2731 0 -1
2736 0 -1
2737 0 -1
2739 0 -1
2756 0 2
2762 0 3
2770 0 4
2772 0 4
2773 0 4
2776 0 4
2790 0 -1
2794 0 -1
2796 0 -1
2802 0 -1
2817 0 1
2819 0 2
2824 0 3
2825 0 3
2827 0 3
2833 0 4
2835 0 4
2839 0 4
2852 0 -1
2853 0 -1
2856 0 -1
2857 0 -1
2859 0 -1
2864 0 -1
2865 0 -1
2867 0 -1
2883 0 2
2888 0 3
2896 0 4
2897 0 4
2899 0 4
2903 0 4
2914 0 -1
2916 0 -1
2920 0 -1
2928 0 -1
3082 0 3
3093 0 4
3110 0 -1
3114 0 -1
3116 0 -1
3117 0 -1
3140 0 2
3146 0 3
3154 0 4
3156 0 4
3157 0 4
3174 0 -1
3178 0 -1
3180 0 -1
3209 0 3
3219 0 4
3237 0 -1
3240 0 -1
3241 0 -1
3243 0 -1
3268 0 2
3274 0 3
3282 0 4
3284 0 4
3285 0 4
3302 0 -1
3306 0 -1
3308 0 -1
3329 0 1
3331 0 2
3336 0 3
3337 0 3
3345 0 4
3347 0 4
3364 0 -1
3365 0 -1
3368 0 -1
3369 0 -1
3395 0 2
3400 0 3
3408 0 4
3409 0 4
3411 0 4
3426 0 -1
3428 0 -1
3432 0 -1
3463 0 3
3471 -2 -1
3488 0 -1
3489 0 -1
3491 0 -1
3495 0 -1
3538 0 4
3558 0 -1
3592 0 3
3601 0 4
3618 0 -1
3620 0 -1
3621 0 -1
3624 0 -1
3651 0 2
3656 0 3
3664 0 4
3665 0 4
3667 0 4
3682 0 -1
3684 0 -1
3688 0 -1
3719 0 3
3727 -2 -1
3744 0 -1
3745 0 -1
3747 0 -1
3751 0 -1
3792 0 4
3810 0 -1
3847 0 3
3855 -2 -1
3872 0 -1
3873 0 -1
3875 0 -1
3879 0 -1
