158911 15
0 0 16
1 0 16
4 0 16
9 0 16
16 0 16
18 0 16
20 0 16
21 0 16
26 0 16
28 0 16
33 0 16
35 0 16
40 0 16
41 0 16
50 0 16
54 0 16
58 0 16
60 0 16
61 0 16
64 0 16
65 0 16
68 0 16
69 0 16
73 0 16
75 0 16
81 0 16
84 0 16
88 0 16
89 0 16
99 0 16
103 0 16
118 0 16
126 0 16
130 0 16
133 0 16
138 0 16
140 0 16
141 0 16
144 0 16
146 0 16
148 0 16
149 0 16
154 0 16
156 0 16
161 0 16
163 0 16
168 0 16
169 0 16
171 0 16
180 0 16
186 0 16
193 0 16
195 0 16
200 0 16
201 0 16
211 0 16
216 0 16
231 0 16
256 0 16
258 0 16
260 0 16
261 0 16
266 0 16
268 0 16
274 0 16
278 0 16
282 0 16
284 0 16
285 0 12
288 0 16
289 0 16
292 0 16
293 0 16
296 0 16
297 0 16
299 0 16
310 0 16
318 0 16
320 0 16
322 0 12
324 0 16
325 0 16
330 0 16
332 0 12
333 0 16
336 0 16
338 0 16
340 0 16
341 0 12
346 0 16
348 0 16
353 0 16
355 0 16
360 0 16
361 0 16
363 0 16
382 0 16
386 0 16
390 0 16
394 0 16
396 0 16
397 0 16
402 0 16
406 0 16
410 0 16
412 0 16
413 0 12
416 0 16
417 0 16
420 0 16
421 0 16
424 0 16
425 2 9
427 0 16
434 0 16
438 0 16
442 0 16
444 0 16
445 0 12
448 0 16
449 0 16
452 0 12
453 0 16
456 0 16
457 0 16
459 0 16
465 0 12
468 0 16
472 0 16
473 0 12
475 0 12
483 0 16
487 0 16
513 0 16
515 0 16
520 0 16
521 0 16
528 0 16
529 0 16
532 0 16
533 0 16
536 0 16
537 0 16
539 0 16
547 0 16
551 0 16
560 0 16
562 0 12
564 0 16
565 0 16
570 0 16
572 0 12
573 0 16
577 0 16
579 0 16
584 9 12
585 0 16
587 0 16
593 0 16
595 0 16
600 0 16
601 0 16
615 0 16
626 0 16
630 0 16
634 0 16
636 0 16
637 0 16
640 9 12
641 0 16
644 9 12
645 0 16
649 0 16
651 0 16
656 0 16
657 0 16
660 0 16
661 0 16
664 0 16
665 2 9
667 0 16
675 0 16
679 0 16
689 0 16
692 0 12
696 0 16
697 0 16
707 0 16
711 0 16
723 0 16
727 0 16
770 0 16
774 0 16
778 0 16
780 0 16
781 0 16
790 0 16
798 0 16
800 0 16
802 0 12
804 0 16
805 0 16
810 0 16
812 0 12
813 0 16
830 0 16
834 0 16
838 0 10
842 0 16
844 0 16
845 0 16
850 0 16
854 0 16
858 0 16
860 0 16
861 0 12
864 0 16
865 0 16
868 0 16
869 0 16
872 0 16
873 0 16
875 0 16
902 0 16
910 0 10
