239785 10
0 0 24
1 0 24
4 1 6
9 0 18
20 0 24
41 0 24
64 0 24
66 0 18
68 0 7
69 -1 24
74 0 24
76 0 18
84 0 7
85 -1 18
89 0 18
106 0 24
108 0 18
116 0 18
129 1 7
131 0 18
136 1 18
137 1 24
145 4 7
147 0 18
164 1 18
168 3 24
169 3 24
194 -1 8
198 0 18
202 0 8
204 0 8
205 0 3
214 0 8
218 0 18
220 -4 24
234 0 8
236 0 24
237 0 18
244 -1 8
245 -1 8
249 0 8
256 0 24
257 0 8
260 3 8
261 0 24
265 0 8
267 0 8
276 0 18
277 0 24
280 3 8
281 0 24
297 2 8
299 2 8
305 0 8
307 0 8
321 0 24
324 3 8
328 0 24
329 2 18
338 0 18
340 3 8
356 0 24
357 0 12
360 4 18
361 4 18
387 3 24
391 0 3
400 0 4
401 1 24
403 3 8
417 4 24
419 2 18
423 4 8
454 -3 9
462 19 3
470 -3 9
474 -3 9
476 -1 9
477 18 4
502 -4 18
506 0 9
508 -4 24
514 0 18
517 -3 24
522 0 18
524 0 18
525 0 24
533 -3 24
537 -3 24
539 2 9
554 0 24
556 1 9
557 0 24
564 0 18
565 -2 18
568 1 9
569 0 24
576 0 9
578 0 24
580 0 9
581 -3 24
586 0 12
588 0 12
596 0 9
597 -3 18
600 0 9
601 0 12
618 0 24
620 0 24
626 -2 18
628 -2 18
641 1 9
643 0 9
648 1 18
649 0 24
651 0 24
657 4 24
659 0 18
663 0 9
676 0 18
680 1 9
681 1 9
683 1 9
688 1 18
689 0 18
691 0 18
708 0 24
714 0 18
722 0 24
724 0 9
725 0 9
742 1 9
746 0 18
748 -4 24
769 0 24
771 0 24
776 3 3
777 3 24
785 0 24
787 0 24
804 1 18
805 3 24
808 11 18
809 3 24
835 2 18
840 3 24
848 0 4
849 4 12
851 0 24
866 3 18
868 3 24
872 5 18
903 19 9
911 -19 -1
928 -18 -1
929 17 9
931 17 9
935 17 9
974 -19 -1
1014 -17 -1
1018 -17 -1
1020 -17 -1
1030 -2 10
1037 -3 10
1046 -4 18
1050 0 10
1052 -4 24
1053 17 4
1069 -3 10
1077 -5 10
1081 -3 10
1083 -3 10
1090 0 1
1094 0 24
1098 0 3
1100 -3 24
1101 -1 12
1110 -4 24
1114 0 24
1116 0 24
1130 2 24
1132 0 10
1133 -1 12
1140 -1 24
1141 -3 18
1144 -3 24
1145 -1 24
1157 0 24
1163 0 10
1173 0 18
1176 0 24
1177 0 24
1179 0 24
1195 0 10
1201 4 24
1203 0 10
1207 -1 18
1218 -1 24
1222 0 18
1226 0 18
1228 0 10
1229 -1 24
1238 0 4
1242 0 18
1244 -4 24
1258 4 18
1260 4 18
1261 4 18
1266 -1 24
1268 -1 24
1269 -1 12
1273 4 18
1280 0 24
1281 0 18
1284 3 18
1285 0 24
1289 0 18
1291 0 18
1300 0 24
1301 0 24
1304 11 18
1305 0 24
1321 4 18
1323 4 18
1329 0 10
1331 0 10
1345 0 18
1348 3 24
1352 0 24
1353 4 18
1355 0 18
1362 -2 24
1364 3 24
1368 3 24
1380 0 24
1381 -1 12
1384 4 18
1385 4 18
1387 4 18
1392 0 24
1393 -1 24
1395 0 10
1411 3 24
1415 0 3
1424 0 24
1425 1 24
1427 3 24
1431 3 24
1441 4 24
1443 0 24
1447 4 18
1482 -3 24
