235781 18
0 0 14
1 0 14
4 0 14
9 0 14
20 0 14
41 0 14
84 0 14
128 0 14
130 0 14
132 0 14
133 0 14
138 0 14
140 0 14
148 0 14
149 0 14
153 0 14
170 0 14
172 0 14
180 0 14
212 0 14
213 0 14
217 0 14
233 0 14
257 0 14
259 0 14
264 0 14
265 0 14
273 0 14
275 0 14
292 0 14
296 0 14
297 0 14
329 0 14
337 0 14
339 0 14
386 0 14
390 0 14
394 0 14
396 0 14
397 0 14
406 0 14
410 0 14
412 0 14
426 0 14
428 0 14
429 0 14
436 0 14
437 0 14
441 0 14
470 0 14
474 0 14
476 0 14
490 0 14
492 0 14
500 0 14
512 0 14
513 0 14
516 0 14
517 0 14
521 0 14
523 0 14
532 0 14
533 0 14
536 0 14
537 0 14
553 0 14
555 0 14
561 0 14
563 0 14
596 0 14
597 0 14
600 0 14
601 0 14
612 0 14
616 0 14
617 0 14
641 0 14
644 0 14
648 0 14
649 0 14
658 0 14
660 0 14
676 0 14
677 0 14
680 0 14
681 0 14
714 0 14
716 0 14
722 0 14
724 0 14
771 0 14
775 0 3
784 0 4
785 0 14
787 0 14
801 0 5
803 0 14
807 0 14
836 0 14
840 0 14
841 0 14
848 0 14
849 0 14
851 0 14
902 0 10
910 12 3
918 0 10
922 0 10
924 0 10
925 11 4
950 0 10
954 0 10
956 10 5
982 0 10
986 0 10
988 0 10
1002 0 10
1004 0 10
1005 0 10
1012 0 10
1013 0 10
1017 0 10
1026 0 14
1029 0 14
1034 0 14
1036 0 14
1037 0 14
1045 0 14
1049 0 14
1051 0 14
1066 0 14
1068 0 14
1069 0 14
1076 0 14
1077 0 14
1080 0 14
1081 0 14
1109 0 14
1113 0 14
1115 0 14
1129 0 14
1131 0 14
1137 0 14
1139 0 14
1152 0 14
1154 0 14
1156 0 14
1157 0 14
1162 0 14
1164 0 14
1172 0 14
1173 0 14
1176 0 14
1177 0 14
1194 0 14
1196 0 14
1202 0 14
1204 0 14
1236 0 14
1237 0 14
1240 0 14
1241 0 14
1252 0 14
1253 0 14
1256 0 14
1257 0 14
1281 0 14
1283 0 14
1288 0 14
1289 0 14
1291 0 14
1297 0 14
1299 0 14
1303 0 14
1316 0 14
1320 0 14
1321 0 14
1323 0 14
1328 0 14
1329 0 14
1331 0 14
1353 0 14
1361 0 14
1363 0 14
1367 0 14
1377 0 14
1379 0 14
