179 8
0 0 5
1 0 5
4 0 5
9 0 5
20 0 5
32 0 6
34 0 6
36 0 6
37 0 6
42 0 6
44 0 6
52 0 6
53 0 6
57 0 6
65 0 6
67 0 6
72 0 6
73 0 6
81 0 6
83 0 6
98 0 7
102 0 7
106 0 7
108 0 7
109 0 7
118 0 7
122 0 7
124 0 7
128 0 7
129 0 7
132 0 7
133 0 7
137 0 7
139 0 7
148 0 7
149 0 7
152 0 7
153 0 7
161 0 7
164 0 7
168 0 7
169 0 7
178 0 7
180 0 7
195 0 7
199 0 3
208 0 7
209 0 7
211 0 7
230 0 8
238 2 3
246 0 8
250 0 8
252 0 8
253 0 8
258 0 8
261 0 8
266 0 8
268 0 8
269 0 8
277 0 8
281 0 8
283 0 8
288 0 8
290 0 8
292 0 8
293 0 8
298 0 8
300 0 8
308 0 8
309 0 8
312 0 8
313 0 8
321 0 8
323 0 8
328 0 8
329 0 8
331 0 8
337 0 8
339 0 8
343 0 8
356 0 8
362 0 8
370 0 8
372 0 8
373 0 8
385 0 8
387 0 8
392 0 8
393 0 8
401 0 8
403 0 8
419 0 8
424 0 8
432 0 8
433 0 8
435 0 8
455 2 8
463 -2 -1
494 -2 -1
518 0 2
525 0 3
534 0 -1
538 0 -1
540 0 -1
541 0 -1
546 0 1
550 0 2
554 0 3
556 0 3
557 0 3
566 0 -1
570 0 -1
572 0 -1
581 0 2
587 0 3
597 0 -1
600 0 -1
601 0 -1
603 0 -1
610 0 1
614 0 2
618 0 3
620 0 3
621 0 3
630 0 -1
634 0 -1
636 0 -1
640 0 0
641 0 1
644 0 2
645 0 2
649 0 3
651 0 3
660 0 -1
661 0 -1
664 0 -1
665 0 -1
673 0 1
676 0 2
680 0 3
681 0 3
683 0 3
690 0 -1
692 0 -1
696 0 -1
707 0 2
711 0 3
720 0 -1
721 0 -1
723 0 -1
727 0 -1
746 0 3
758 0 -1
772 0 2
777 0 3
786 0 -1
788 0 -1
789 0 -1
801 0 1
804 0 2
808 0 3
809 0 3
818 0 -1
820 0 -1
835 0 2
839 0 3
848 0 -1
849 0 -1
851 0 -1
872 0 3
882 0 -1
899 0 2
903 0 3
912 0 -1
913 0 -1
915 0 -1
935 0 3
944 0 -1
