1415 4
0 2 21
1 3 21
4 2 35
9 3 21
20 2 21
128 1 14
130 -3 42
132 0 28
133 0 21
138 -3 21
140 -1 21
257 4 28
259 3 21
264 6 21
265 0 21
386 -4 21
390 -1 2
512 0 28
513 3 9
516 0 21
517 0 28
641 5 21
644 4 21
771 6 9
1026 -3 21
1152 3 14
1154 -3 21
1281 4 28
1537 0 28
2560 -1 21
16384 0 35
16386 -1 15
16388 0 35
16389 0 21
16394 0 15
16396 -1 15
16514 0 28
16518 0 2
16640 -1 15
16641 5 15
16644 0 15
16645 0 21
16896 0 9
16898 -1 15
17024 3 21
17026 6 21
17153 6 9
17664 -1 15
17920 -3 15
32769 4 21
32771 5 28
32776 6 15
32777 8 21
32896 4 35
32897 5 15
32900 0 21
32901 4 35
33027 0 21
33152 1 9
33154 -1 15
33281 0 28
33409 8 15
33792 36 21
33920 0 28
49154 0 16
49158 -3 2
49408 1 16
49410 -5 16
49920 4 9
65536 0 21
65537 1 16
65540 0 21
65541 0 21
65664 1 16
65666 -5 21
65793 0 21
66048 36 21
66176 4 16
81921 7 21
81924 6 16
82048 0 28
82050 6 16
82177 8 16
82432 6 16
98307 8 16
98433 8 16
98688 6 16
131074 -5 21
131328 36 21
147456 1 21
147458 -1 17
147712 -1 17
163841 0 21
163968 -1 17
196609 4 21
196736 4 17
327680 0 21
2097152 -2 22
2097154 -3 22
2097156 0 28
2097157 -2 22
2097162 -3 22
2097164 -3 22
2097282 3 22
2097286 -3 22
2097408 0 22
2097409 3 22
2097412 0 22
2097413 2 22
2097664 -4 22
2097666 -5 22
2097792 1 14
2097794 8 22
2097921 4 9
2098432 0 22
2098688 0 22
2113538 -4 35
2113542 -5 2
2113792 3 22
2113794 -1 22
2114304 4 9
2129920 0 22
2129921 5 22
2129924 0 22
2129925 0 15
2130048 5 22
2130050 -1 15
2130177 4 8
2130432 -3 22
2130560 4 9
2162688 0 16
2162690 -7 16
2162944 0 22
2179072 0 28
2179074 0 28
2179328 6 16
2195457 6 16
2195584 4 16
2260992 0 22
2293760 -1 22
4194305 8 22
4194307 9 28
4194312 8 22
4194313 8 22
4194432 4 35
4194433 9 22
4194436 6 22
4194437 6 35
4194563 8 28
4194688 0 9
4194690 -1 1
4194817 6 22
4194945 6 28
4195328 36 14
4195456 10 22
4210688 4 35
4210689 9 22
4210692 2 35
4210693 4 35
4210816 7 22
4210818 6 8
4210945 4 22
4211200 -1 22
4211328 6 9
4227075 36 28
4227201 4 35
4227456 -1 15
4243456 0 16
