161029 16
0 0 15
1 0 15
4 0 15
9 0 15
20 0 15
32 0 15
34 0 15
36 0 15
37 0 15
42 0 15
44 0 15
52 0 15
53 0 15
57 0 15
65 0 15
67 0 15
72 0 15
73 0 15
81 3 6
83 0 15
98 0 15
102 0 15
106 0 15
108 0 15
109 0 15
118 0 15
122 0 15
124 -3 15
128 0 15
129 0 15
132 0 15
133 0 15
137 0 7
139 0 15
148 0 15
149 0 15
152 0 15
153 0 15
161 0 15
164 0 15
168 0 15
169 0 15
178 0 15
180 2 7
195 0 15
199 0 3
208 0 15
209 0 15
211 0 15
230 0 8
238 10 3
246 0 8
250 0 8
252 0 8
253 0 8
258 0 15
261 0 2
266 0 15
268 0 15
269 0 15
277 0 15
281 -2 15
283 0 15
288 0 15
290 0 15
292 0 15
293 0 15
298 0 15
300 0 15
308 0 15
309 0 15
312 0 15
313 0 15
321 0 15
323 0 15
328 0 15
329 0 15
331 0 15
337 3 8
339 0 15
343 0 15
356 0 15
362 0 15
370 0 15
372 0 15
373 0 15
385 0 15
387 0 15
392 0 15
393 0 15
401 0 15
403 0 15
419 0 15
424 0 15
432 0 15
433 0 15
435 0 15
455 10 8
463 -10 -1
494 -10 -1
518 0 15
525 0 15
534 0 15
538 0 15
540 0 15
541 0 15
546 3 1
550 0 15
554 3 3
556 0 15
557 0 15
566 0 15
570 0 15
572 0 15
581 0 15
587 0 15
597 0 15
600 0 15
601 0 15
603 0 15
610 0 15
614 0 15
618 0 15
620 0 15
621 0 15
630 0 15
634 0 15
636 -3 15
640 0 15
641 0 15
644 0 15
645 0 15
649 0 15
651 0 15
660 0 15
661 0 15
664 6 15
665 0 15
673 0 15
676 2 2
680 0 15
681 3 15
683 0 15
690 0 15
692 2 15
696 0 15
707 0 15
711 0 3
720 0 15
721 0 15
723 0 15
727 0 15
746 0 15
758 0 15
772 0 15
777 -2 15
786 0 15
788 0 15
789 0 15
801 0 15
804 0 15
808 0 15
809 0 15
818 0 15
820 0 15
835 0 15
839 0 3
848 0 15
849 0 15
